Date,RELIANCE.NS
2024-10-04,-0.014534730523430572
2024-10-07,-0.011395420352580121
2024-10-08,0.0194239966524532
2024-10-09,-0.01628076313106086
2024-10-10,-0.0025825772062730845
2024-10-11,0.0007658021900851519
2024-10-14,0.0003097665148292794
2024-10-15,-0.02076462740368623
2024-10-16,0.007477531023245998
2024-10-17,0.0017355366215876522
2024-10-18,0.002119514103785969
2024-10-21,0.007283144152932186
2024-10-22,-0.018879655477459623
2024-10-23,-0.0035917520257832125
2024-10-24,0.0009526096826493191
2024-10-25,-0.008919334931152934
2024-10-28,0.004895114899429842
2024-10-29,0.004234301118042572
2024-10-30,0.0029104745988790537
2024-10-31,-0.008817617250717169
2024-11-01,0.004954757886030059
2024-11-04,-0.02726622615482377
2024-11-05,0.002419062081197243
2024-11-06,0.015360433017062691
2024-11-07,-0.014863959263467397
2024-11-08,-0.01677333590404584
2024-11-11,-0.008607642550177097
2024-11-12,0.0012179710824313794
2024-11-13,-0.017422017670066903
2024-11-14,0.012419645590951989
2024-11-18,-0.005403915411881233
2024-11-19,-0.01514973443612555
2024-11-21,-0.015020332373453904
2024-11-22,0.03466883977199631
2024-11-25,0.017069672210535236
2024-11-26,0.0067599179252813
2024-11-27,-0.0019295034595612215
2024-11-28,-0.017321295773564005
2024-11-29,0.016839745390603067
2024-12-02,0.013117256434050262
2024-12-03,0.010808475462453115
2024-12-04,-0.010844142312697147
2024-12-05,0.010008087816572253
2024-12-06,-0.007942226821521237
2024-12-09,-0.01250425525373744
2024-12-10,-0.00795284633887361
2024-12-11,-0.005175693128900094
2024-12-12,-0.0119698620049552
2024-12-13,0.007878676953671393
2024-12-16,-0.003574623896608675
2024-12-17,-0.018134560064890004
2024-12-18,0.006383971681293232
2024-12-19,-0.018192738883663018
2024-12-20,-0.02043955684943488
2024-12-23,0.014104370921263154
2024-12-24,0.0003680846263756088
2024-12-26,-0.0050705022120551835
2024-12-27,0.0036990497900886155
2024-12-30,-0.008476419522493672
2024-12-31,0.003923329216690696
2025-01-01,0.004771936716607028
2025-01-02,0.016827029703506913
2025-01-03,0.007529441814037696
2025-01-06,-0.026495670484899647
2025-01-07,0.018760205607393887
2025-01-08,0.01986546439436765
2025-01-09,-0.008494697133453744
2025-01-10,-0.01024104070102605
2025-01-13,-0.0016507167448225335
2025-01-14,-0.0008871691810375948
2025-01-15,0.010857611082177643
2025-01-16,0.01138000913164694
2025-01-17,0.028346965549963965
2025-01-20,0.002380295885440198
2025-01-21,-0.02432108515219722
2025-01-22,0.0026693883355755066
2025-01-23,-0.010531664616998282
2025-01-24,-0.013729990211083898
2025-01-27,-0.013600350710330056
2025-01-28,0.004107958579064652
2025-01-29,0.0008910860517084007
2025-01-30,0.014204806410186954
2025-01-31,0.00961644545190632
2025-02-01,-0.0003952541600500403
2025-02-03,-0.014787187771117871
2025-02-04,0.031543373023227295
2025-02-05,-0.0054466343126137184
2025-02-06,0.002620966195432839
2025-02-07,-0.011587600097353934
2025-02-10,-0.010302329044276082
2025-02-11,-0.014996216167547205
2025-02-12,-0.014819589803139244
2025-02-13,-0.0003699251274362769
2025-02-14,0.0009456132785348181
2025-02-17,0.006284708364159508
2025-02-18,0.0004082259939102162
2025-02-19,0.0016728435660231522
2025-02-20,0.004521595523635513
2025-02-21,-0.003933480806973422
2025-02-24,-0.011073565444983391
2025-02-25,-0.008686365125215811
2025-02-27,0.0025747328055609753
2025-02-28,-0.0057990343606695305
2025-03-03,-0.02403966050217987
2025-03-04,-0.007982871931567215
2025-03-05,0.011791037549914618
2025-03-06,0.02892140024113332
2025-03-07,0.033234190762060356
2025-03-10,-0.00912152760140239
2025-03-11,0.007186715457569104
2025-03-12,0.007816857918678366
2025-03-13,-0.007278886208929469
2025-03-17,-0.007252312899922453
2025-03-18,0.0
2025-03-19,0.006699849341436304
2025-03-20,0.017640212849612702
2025-03-21,0.005673014136038379
2025-03-24,0.02017473148609139
2025-03-25,-0.012787017018420888
2025-03-26,-0.009646359885421396
2025-03-27,0.004045309001149411
2025-03-28,-0.0024252686646160093
2025-04-01,-0.017645697364857216
2025-04-02,-0.001157479996779065
2025-04-03,-0.0019582414871938125
2025-04-04,-0.035236730882516665
2025-04-07,-0.03237320012537581
2025-04-08,0.014154659879601628
2025-04-09,0.0026645084100167526
2025-04-11,0.02834603302253491
2025-04-15,0.017351043116696552
2025-04-16,-0.0006450569141414064
2025-04-17,0.028403098904663304
2025-04-21,0.016476986482864886
2025-04-22,-0.003319137245686554
2025-04-23,0.006815381959146771
2025-04-24,0.0012307636032609093
2025-04-25,-0.00092191447484824
2025-04-28,0.05259921775599641
2025-04-29,0.022574441711784132
2025-04-30,0.0037865358682445116
2025-05-02,0.0105338689707426
2025-05-05,0.008099711223408246
2025-05-06,-0.007266131195719505
2025-05-07,-0.010486376706539735
2025-05-08,0.0007112888248419491
2025-05-09,-0.021179860130747574
2025-05-12,0.04305836840007893
2025-05-13,-0.014479658083635383
2025-05-14,0.006145466662176524
2025-05-15,0.020921047503038803
2025-05-16,0.0015128840393894283
2025-05-19,-0.010711357251580567
2025-05-20,-0.011243797996968508
2025-05-21,0.0032289512519809715
2025-05-22,-0.0138537886130784
2025-05-23,0.012345698336225563
2025-05-26,0.005606926734152973
2025-05-27,-0.008851447302390625
2025-05-28,-0.0064692549661740095
2025-05-29,0.003468033906426582
2025-05-30,0.0021864706617111818
2025-06-02,-0.005067230857700444
2025-06-03,-0.005800366381819577
2025-06-04,0.012806793550152351
2025-06-05,0.013277143550585846
2025-06-06,0.0007625878399228903
